name,1yReturn,3yReturn,5yReturn,Sharp,AdjustedSharp,Sortino,Calmar,AnnualizedReturn,Volatility,MaxDrawdown,MaxDrawdownDuration,TotalDays,StartDate,EndDate
中证500价值ETF银华_562330,34.3558%,,,0.7307,0.627,1.0654,0.6832,13.7446%,19.9888%,-20.1166%,191,669,2023-04-18,2026-02-24
智能驾驶ETF_516520,10.5611%,43.3155%,,0.6932,0.6264,1.1009,0.5632,18.5841%,31.0417%,-32.996%,207,1187,2021-03-01,2026-02-24
军工ETF广发_512680,43.5514%,30.8348%,27.787%,0.6943,0.6263,1.0932,0.5877,18.7606%,30.4818%,-31.9227%,255,2277,2016-08-30,2026-02-24
军工ETF_512660,43.499%,31.6667%,27.6361%,0.6923,0.625,1.0829,0.5938,18.8988%,30.7915%,-31.8267%,255,2315,2016-07-26,2026-02-24
浙江国资ETF华夏_515760,21.6327%,36.572%,33.6323%,0.7297,0.623,0.9563,0.7498,13.7238%,19.4336%,-18.3036%,160,1281,2020-10-12,2026-02-24
沪深300ETF汇添富_515310,21.3299%,24.1166%,-0.0711%,0.7341,0.6215,1.0436,0.6731,12.6076%,18.421%,-18.7307%,258,1495,2019-12-04,2026-02-24
沪深300ETF指数基金_515390,21.6192%,24.2727%,0.8856%,0.7299,0.6202,1.0,0.6476,12.9007%,18.899%,-19.9209%,257,1485,2019-12-13,2026-02-24
沪深300ETF广发_510360,21.2737%,24.2193%,-2.4523%,0.7311,0.6201,1.0033,0.6852,12.79%,18.672%,-18.6659%,258,2541,2015-08-20,2026-02-24
央企创新ETF博时_515900,17.4582%,36.0186%,60.8059%,0.7338,0.62,1.0439,0.7933,12.7351%,18.2044%,-16.0525%,216,1509,2019-09-20,2026-02-24
沪深300ETF国寿_510380,22.0369%,25.3381%,-1.7668%,0.726,0.6171,1.079,0.7249,13.2776%,19.037%,-18.3164%,258,1948,2018-01-19,2026-02-24
中证1000ETF汇添富_560110,30.3609%,23.9152%,,0.6946,0.6168,1.002,0.5343,16.9413%,26.6302%,-31.7073%,210,858,2022-07-29,2026-02-24
沪深300ETF天弘_515330,21.5633%,24.5856%,-3.495%,0.726,0.6168,1.029,0.6424,12.878%,18.9824%,-20.0477%,258,1493,2019-12-05,2026-02-24
央企创新ETF嘉实_515680,17.4867%,36.1325%,60.6364%,0.7296,0.6153,1.041,0.7957,12.5669%,18.1298%,-15.7928%,216,1509,2019-09-20,2026-02-24
央企创新ETF_515600,17.7139%,36.8298%,62.6039%,0.7222,0.6128,0.9807,0.7563,12.9058%,18.9448%,-17.064%,216,1509,2019-09-20,2026-02-24
中证1000价值ETF_562530,24.4934%,31.4419%,,0.7101,0.6123,0.9174,0.6453,14.2471%,21.1707%,-22.0767%,157,856,2022-07-28,2026-02-24
上证50ETF华安_510190,17.0969%,20.2652%,4.9339%,0.7321,0.6096,0.9779,0.7801,11.4747%,16.9278%,-14.7094%,256,2702,2015-01-05,2026-02-24
MSCIA股ETF建信_512180,22.0423%,19.5997%,9.5449%,0.7247,0.6077,1.0025,0.7102,12.2198%,17.7153%,-17.2057%,258,1890,2018-04-19,2026-02-24
沪深300ETF增强基金_561000,16.1552%,25.3165%,,0.7166,0.6052,1.0428,0.6283,12.4645%,18.6044%,-19.84%,257,756,2022-12-21,2026-02-24
中证500低波动ETF_512260,27.3292%,32.4289%,47.801%,0.6994,0.6015,0.9283,0.7028,13.6699%,21.166%,-19.4498%,259,1727,2018-11-30,2026-02-24
沪深300价值ETF申万菱信_560330,10.8657%,,,0.7151,0.5923,0.9032,0.6952,11.0899%,16.883%,-15.9524%,215,669,2023-05-11,2026-02-24
300红利低波ETF嘉实_515300,3.1351%,38.6312%,48.5334%,0.7521,0.5888,1.0686,0.894,8.7644%,12.6865%,-9.804%,150,1562,2019-08-08,2026-02-24
MSCI中国A股ETF摩根_515770,21.9678%,20.2341%,2.3488%,0.6828,0.5785,0.8721,0.7482,12.5149%,19.8822%,-16.726%,258,1381,2020-05-13,2026-02-24
智能汽车ETF_515250,9.4718%,37.0582%,20.4409%,0.6443,0.5782,1.042,0.5296,17.7871%,31.3346%,-33.587%,211,1248,2020-12-24,2026-02-24
上证50ETF申万菱信_510600,16.2398%,20.3737%,-5.6461%,0.6938,0.5746,0.975,0.7666,10.9891%,17.3914%,-14.3345%,256,1797,2018-09-03,2026-02-24
钢铁ETF_515210,33.1279%,20.3825%,33.9469%,0.6545,0.5702,0.8942,0.5282,13.9487%,24.5853%,-26.4076%,281,1455,2020-01-22,2026-02-24
基本面50ETF嘉实_512750,5.3314%,32.1881%,24.5315%,0.7046,0.5692,0.9768,0.7695,9.8095%,15.2984%,-12.7483%,174,1615,2019-05-23,2026-02-24
传媒ETF_512980,32.9558%,74.184%,37.9553%,0.6278,0.5678,0.9711,0.5518,18.4808%,34.5872%,-33.4911%,304,1962,2017-12-27,2026-02-24
高端装备ETF华夏_516320,47.6316%,17.8571%,,0.6491,0.5674,1.0366,0.5582,15.0243%,25.3851%,-26.9136%,256,1120,2021-06-08,2026-02-24
富时A50ETF嘉实_512550,15.6682%,24.3454%,-5.9422%,0.6818,0.5648,0.9729,0.5967,11.015%,17.7101%,-18.4598%,256,2076,2017-07-03,2026-02-24
MSCI中国A股ETF基金_512360,21.1361%,17.9421%,5.4023%,0.6748,0.5619,0.9306,0.5698,11.4099%,18.3637%,-20.0237%,259,1862,2018-06-07,2026-02-24
红利低波ETF华泰柏瑞_512890,8.6191%,33.9429%,71.8475%,0.6948,0.5599,0.8774,0.7254,10.0028%,15.3587%,-13.79%,143,1721,2018-12-19,2026-02-24
红利ETF易方达_515180,14.7677%,27.5473%,56.0147%,0.6958,0.559,0.8322,0.6685,9.7311%,15.1419%,-14.557%,186,1500,2019-11-26,2026-02-24
新能车ETF_515700,43.4144%,12.2566%,24.1194%,0.6199,0.5543,1.0509,0.4537,16.3783%,31.5598%,-36.096%,470,1470,2019-12-31,2026-02-24
沪深300ETF兴业_510370,19.8857%,21.6937%,-7.8207%,0.664,0.5535,0.9435,0.5602,11.471%,18.7521%,-20.4771%,257,1298,2020-09-11,2026-02-24
平安MSCI低波ETF_512390,17.7024%,17.9021%,5.7788%,0.6907,0.5518,0.8657,0.6501,9.9806%,14.9212%,-15.353%,302,1848,2018-06-07,2026-02-24
金融地产ETF嘉实_512640,7.2944%,31.6161%,7.6752%,0.6554,0.5488,0.9146,0.7331,11.0008%,19.443%,-15.0061%,260,2702,2015-01-05,2026-02-24
科技ETF沪港深_517360,-3.4742%,30.2915%,,0.6221,0.5399,0.9357,0.5896,13.7148%,25.2314%,-23.2617%,254,1102,2021-07-05,2026-02-24
国企ETF_510270,21.9018%,24.7209%,11.3167%,0.6649,0.5361,0.9034,0.6451,10.0175%,16.0994%,-15.528%,216,2702,2015-01-05,2026-02-24
央企结构调整ETF博时_512960,16.1562%,25.1907%,31.3977%,0.6524,0.5314,0.9274,0.616,10.6178%,17.1226%,-17.2365%,242,1729,2018-10-19,2026-02-24
新能源车ETF_515030,41.7665%,9.9246%,19.7219%,0.5949,0.529,1.0198,0.4212,15.3892%,31.4968%,-36.533%,473,1451,2020-02-20,2026-02-24
智能汽车ETF易方达_516590,22.4432%,21.6369%,,0.6031,0.5276,0.9884,0.4736,14.4317%,27.4667%,-30.4712%,259,1139,2021-05-12,2026-02-24
180治理ETF交银_510010,16.1249%,28.3099%,17.0951%,0.6323,0.5267,0.8694,0.7548,11.1031%,19.6282%,-14.7093%,186,2702,2015-01-05,2026-02-24
中证红利ETF_515080,14.4177%,26.4116%,58.06%,0.661,0.5265,0.8074,0.6482,9.3443%,15.3987%,-14.4157%,184,1494,2019-11-28,2026-02-24
上海国企ETF汇添富_510810,12.8236%,25.7086%,12.1519%,0.6325,0.5251,0.8426,0.5809,10.0863%,19.2865%,-17.3634%,261,2304,2016-07-28,2026-02-24
价值100ETF_512040,32.6617%,52.5223%,75.2344%,0.5524,0.524,0.7851,0.3862,20.3637%,72.9414%,-52.7234%,573,1754,2018-11-07,2026-02-24
沪深300ESGETF南方_560180,17.1737%,,,0.6317,0.5193,0.8436,0.6603,11.0654%,18.4495%,-16.7572%,255,666,2023-04-21,2026-02-24
央企改革ETF华夏_512950,16.5676%,25.6205%,31.407%,0.6262,0.5129,0.857,0.5373,10.6892%,18.291%,-19.8953%,306,1729,2018-10-19,2026-02-24
富时A50ETF汇安_512150,13.8906%,19.0874%,-2.8826%,0.6266,0.5024,0.8904,0.641,10.0877%,16.6915%,-15.7372%,253,1692,2019-01-21,2026-02-24
央企科技ETF易方达_563050,30.1166%,,,0.5714,0.4965,0.9196,0.4602,13.9556%,27.6615%,-30.3253%,278,641,2023-06-21,2026-02-24
国防ETF_512670,47.1098%,13.2369%,7.5541%,0.5615,0.4962,0.9515,0.3844,14.3344%,31.7755%,-37.2946%,275,1593,2019-07-05,2026-02-24
科技先锋ETF中金_560990,19.3933%,21.0989%,,0.5768,0.4962,0.9518,0.5029,12.929%,25.7167%,-25.7075%,259,867,2022-06-27,2026-02-24
传媒ETF华夏_516190,28.5846%,52.0652%,,0.5555,0.494,0.8906,0.3939,14.1439%,33.6895%,-35.9116%,300,1048,2021-09-17,2026-02-24
游戏ETF华泰柏瑞_516770,22.6891%,75.9036%,,0.5422,0.4886,0.8561,0.4128,16.5183%,38.6976%,-40.0164%,344,1206,2021-02-25,2026-02-24
红利ETF华泰柏瑞_510880,11.4284%,26.841%,49.6056%,0.6107,0.4756,0.7958,0.604,8.4908%,15.3436%,-14.0568%,184,2702,2015-01-05,2026-02-24
红利ETF汇添富_560020,13.7713%,,,0.595,0.4717,0.7306,0.5939,8.8412%,16.5703%,-14.8878%,193,573,2023-09-26,2026-02-24
游戏传媒ETF浦银_517770,22.55%,48.2163%,,0.537,0.4709,0.8591,0.4431,13.5871%,31.3622%,-30.6627%,259,1000,2021-12-03,2026-02-24
机器人ETF银华_562360,6.1243%,29.1435%,,0.5292,0.4647,0.8705,0.4004,13.2123%,32.154%,-32.9955%,278,1035,2021-10-15,2026-02-24
沪深300成长ETF银华_562310,31.7259%,8.2377%,,0.5549,0.4637,0.868,0.3933,10.9786%,22.7357%,-27.9152%,259,835,2022-09-01,2026-02-24
游戏ETF_516010,21.6944%,69.4598%,,0.5108,0.4579,0.8113,0.3678,15.1288%,39.1868%,-41.1324%,346,1206,2021-02-25,2026-02-24
新能源车ETF基金_516660,40.9976%,8.1157%,,0.5163,0.4493,0.8776,0.3569,12.9658%,30.9643%,-36.3322%,480,1188,2021-02-26,2026-02-24
责任ETF建信_510090,8.9594%,16.6954%,4.4282%,0.559,0.4419,0.7417,0.5335,8.6889%,17.6889%,-16.2861%,303,2702,2015-01-05,2026-02-24
机械ETF国泰_516960,41.2304%,7.4701%,,0.5096,0.429,0.8284,0.4257,11.3121%,25.7212%,-26.5718%,255,1142,2021-05-07,2026-02-24
证券保险ETF鹏华_515630,9.098%,32.8598%,12.51%,0.4998,0.4219,0.8115,0.3598,9.9653%,26.5913%,-27.6992%,311,1432,2020-02-28,2026-02-24
央企科技ETF银华_562380,27.6527%,,,0.4896,0.4154,0.796,0.3427,10.7483%,27.9471%,-31.3603%,275,622,2023-07-07,2026-02-24
国企红利ETF_561060,12.6668%,,,0.5211,0.4082,0.6165,0.5763,8.1029%,18.1461%,-14.061%,187,577,2023-09-21,2026-02-24
绿色能源ETF_562010,36.9771%,-0.1967%,,0.4766,0.4001,0.7629,0.3321,9.9391%,27.1109%,-29.9279%,263,760,2022-12-16,2026-02-24
计算机ETF_512720,2.5801%,19.2741%,3.3083%,0.4594,0.3997,0.8269,0.3253,12.2963%,34.7114%,-37.7969%,280,1584,2019-07-11,2026-02-24
新能源ETF华夏_516850,56.4494%,-6.5452%,,0.4598,0.3916,0.7543,0.274,10.154%,30.3657%,-37.0652%,489,1196,2021-03-09,2026-02-24
可持续发展ETF博时_515090,12.7572%,15.6118%,-4.7288%,0.4981,0.3871,0.713,0.4837,8.5058%,18.6803%,-17.5865%,255,1434,2020-02-20,2026-02-24
通信ETF_515880,-26.0631%,16.2891%,5.998%,0.4194,0.3843,0.3876,0.0191,1.3144%,58.8908%,-68.9086%,161,1566,2019-08-16,2026-02-24
环保ETF_512580,38.826%,-3.3692%,7.6677%,0.459,0.3777,0.6983,0.3232,8.9559%,25.4713%,-27.7087%,484,2186,2017-01-25,2026-02-24
信息安全ETF易方达_562920,3.5088%,,,0.4386,0.3769,0.7234,0.2647,9.5079%,33.6418%,-35.914%,284,635,2023-06-12,2026-02-24
大数据ETF华夏_516000,-2.2109%,21.6931%,,0.4309,0.3746,0.7376,0.2425,9.8253%,36.8544%,-40.509%,286,1186,2021-03-02,2026-02-24
电力ETF博时_561700,10.6061%,18.7636%,,0.4996,0.3692,0.716,0.4286,6.7158%,15.8957%,-15.669%,314,875,2022-07-01,2026-02-24
杭州湾区ETF南华_512870,22.1078%,1.1819%,-19.53%,0.4492,0.369,0.6694,0.3174,9.5941%,25.8464%,-30.2308%,259,1705,2018-12-14,2026-02-24
大数据ETF_515400,-3.0303%,18.5185%,9.3168%,0.4238,0.3683,0.7519,0.2964,11.6671%,37.3635%,-39.3593%,281,1236,2020-01-07,2026-02-24
新材料ETF_516360,46.4135%,3.3764%,,0.4406,0.3652,0.7216,0.2609,9.4289%,27.4907%,-36.1374%,479,1137,2021-05-14,2026-02-24
物流ETF银华_516530,15.0057%,8.1897%,,0.4685,0.3563,0.6083,0.5126,8.4315%,18.4732%,-16.4482%,190,970,2022-01-17,2026-02-24
电力ETF南方_560580,10.7179%,,,0.4738,0.3502,0.6894,0.411,6.5252%,16.7611%,-15.8772%,320,677,2023-04-27,2026-02-24
物流ETF_516910,15.0198%,7.9777%,,0.4583,0.3481,0.5823,0.4963,8.2872%,18.8013%,-16.6964%,192,1117,2021-06-11,2026-02-24
绿电ETF_562550,10.6758%,,,0.4759,0.3462,0.673,0.4006,6.2553%,15.9751%,-15.6143%,257,707,2023-03-07,2026-02-24
绿色电力ETF_561170,10.7317%,,,0.4785,0.3458,0.6606,0.4089,6.3157%,15.6209%,-15.4437%,314,714,2023-03-02,2026-02-24
电力ETF银华_562350,10.6855%,17.4332%,,0.4598,0.3394,0.6438,0.3803,6.4581%,17.2074%,-16.9811%,334,879,2022-06-30,2026-02-24
影视ETF_516620,8.6397%,22.487%,,0.3952,0.3391,0.5832,0.224,8.3753%,36.925%,-37.384%,235,1020,2021-11-05,2026-02-24
大数据ETF华宝_516700,-3.2314%,17.2487%,,0.3917,0.3358,0.6823,0.2044,8.2213%,37.0912%,-40.2128%,286,1132,2021-05-21,2026-02-24
证券ETF富国_515850,4.5487%,27.9152%,14.2857%,0.4096,0.3337,0.6899,0.2669,7.4982%,27.3026%,-28.0912%,311,1460,2020-01-21,2026-02-24
证券ETF易方达_512570,4.0708%,27.2727%,7.2993%,0.3997,0.3238,0.6513,0.2579,7.1813%,27.3205%,-27.8434%,311,2072,2017-07-27,2026-02-24
核心50ETF民生加银_560650,28.3863%,8.0278%,,0.4103,0.319,0.6165,0.2581,7.3812%,22.7208%,-28.6019%,463,867,2022-06-27,2026-02-24
漂亮50ETF_561500,27.5449%,8.9514%,,0.4115,0.3175,0.6598,0.2617,7.4515%,22.0456%,-28.4741%,465,829,2022-08-18,2026-02-24
软件ETF基金_561010,-4.1195%,,,0.3677,0.3171,0.6452,0.1798,7.0331%,39.225%,-39.1262%,200,526,2023-12-11,2026-02-24
证券ETF_512880,3.2599%,25.8861%,5.1121%,0.3894,0.3147,0.6469,0.2474,6.983%,27.7326%,-28.2258%,311,2315,2016-07-26,2026-02-24
科技ETF_515000,-27.7473%,-15.9744%,-41.588%,0.3365,0.3135,0.4605,-0.0746,-4.0214%,89.7745%,-53.8889%,218,1594,2019-07-22,2026-02-24
证券ETF南方_512900,3.2057%,25.2973%,4.8869%,0.3868,0.3108,0.6397,0.2352,6.6177%,27.2464%,-28.1366%,311,2160,2017-03-10,2026-02-24
信创ETF基金_562030,-2.5424%,,,0.3628,0.3073,0.6306,0.1714,6.858%,36.774%,-40.0%,233,573,2023-10-12,2026-02-24
证券ETF指数基金_516200,3.318%,24.9721%,,0.3797,0.3028,0.6216,0.2367,6.5887%,26.9256%,-27.8335%,311,1195,2021-03-09,2026-02-24
证券ETF汇添富_560090,3.2046%,,,0.3659,0.2929,0.6085,0.2178,6.3396%,28.3843%,-29.102%,311,715,2023-02-27,2026-02-24
证券ETF浦银_516730,4.1461%,26.9555%,,0.368,0.2902,0.5955,0.3065,8.4346%,26.649%,-27.5207%,312,1015,2021-11-12,2026-02-24
证券ETF先锋_516980,4.9774%,25.0%,,0.3443,0.2687,0.5687,0.2799,7.8491%,27.4412%,-28.0392%,260,1106,2021-06-24,2026-02-24
绿色电力ETF易方达_562960,10.893%,,,0.3682,0.2394,0.5108,0.3392,5.1789%,16.0923%,-15.2659%,255,673,2023-04-12,2026-02-24
上证券商ETF汇安_510200,4.4093%,21.3733%,8.4702%,0.2286,0.1502,0.3545,0.1432,4.0425%,26.4371%,-28.2369%,332,1382,2020-05-08,2026-02-24
煤炭ETF_515220,21.553%,-44.6529%,0.1145%,0.1623,0.138,0.2111,-0.2683,-17.3608%,85.1473%,-64.698%,473,1455,2020-01-20,2026-02-24
光伏ETF基金_516180,48.6179%,-22.6734%,,0.1918,0.1291,0.3319,0.0493,2.0445%,33.0672%,-41.4496%,518,1185,2021-03-03,2026-02-24
长江保护ETF易方达_517330,57.8864%,27.5159%,,0.1791,0.1098,0.5954,0.0293,1.0459%,37.6956%,-35.6779%,544,563,2022-01-05,2026-02-24
医药ETF华夏_510660,12.4077%,-10.2063%,-25.7012%,0.1782,0.0921,0.2812,0.0591,1.7205%,24.0754%,-29.127%,413,2702,2015-01-05,2026-02-24
医药50ETF_512120,10.628%,-15.1852%,-42.9163%,0.1335,0.0464,0.2125,0.0189,0.5554%,23.7938%,-29.3763%,416,2702,2015-01-05,2026-02-24
消费50ETF_515650,2.7361%,-12.4153%,-35.5838%,0.1286,0.022,0.185,0.032,0.6567%,19.4424%,-20.5446%,333,1527,2019-10-14,2026-02-24
消费ETF_510150,4.3726%,-15.6682%,-34.4736%,0.0592,-0.0405,0.0924,-0.0185,-0.4555%,20.7739%,-24.6101%,258,2702,2015-01-05,2026-02-24
医药龙头ETF_515950,6.5143%,-18.6284%,-39.3951%,0.0428,-0.0462,0.0704,-0.0514,-1.5904%,23.2619%,-30.9406%,435,1439,2020-03-16,2026-02-24
生物医药ETF_512290,4.9163%,-20.3336%,-47.624%,0.0332,-0.047,0.0544,-0.0656,-2.2947%,25.8109%,-34.9668%,424,1645,2019-04-18,2026-02-24
医药ETF易方达_512010,3.5326%,-22.8745%,-50.3259%,-0.011,-0.095,-0.018,-0.0946,-2.9345%,24.6677%,-31.0112%,440,2702,2015-01-05,2026-02-24
中药ETF_560080,2.9183%,-14.6086%,,-0.0626,-0.1579,-0.0908,-0.1323,-3.3%,21.7529%,-24.9385%,333,815,2022-09-26,2026-02-24
中药ETF华泰柏瑞_561510,2.7916%,-13.796%,,-0.0815,-0.1804,-0.1187,-0.1449,-3.5983%,20.9382%,-24.8322%,333,861,2022-07-26,2026-02-24
消费ETF华夏_510630,-0.6529%,-26.1924%,-38.2064%,-0.1426,-0.2316,-0.2429,-0.1842,-5.7029%,23.2898%,-30.9589%,593,2702,2015-01-05,2026-02-24
消费ETF嘉实_512600,-2.0833%,-27.2928%,-39.2989%,-0.2322,-0.3251,-0.3873,-0.2331,-7.3421%,22.294%,-31.4951%,593,2702,2015-01-05,2026-02-24
